Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
378;Men in Black II;Men in Black II;2002;Barry Sonnenfeld;Tommy Lee Jones, Will Smith, Rip Torn;USA;Nein;6,2;Columbia Pictures, Amblin Entertainment, MacDonald/Parkes Productions;Action, Adventure, Comedy;$193,735,288;https://www.youtube.com/watch?v=DMHlNR6x2Sw;https://www.youtube.com/watch?v=pndRjZ0QD7A;filmster://result?id=378;https://filmster.b-cdn.net/378/Filmster_378_DE_Video-1.mp4;https://filmster.b-cdn.net/378/Filmster_378_EN_Video-1.mp4;https://filmster.b-cdn.net/378/Filmster_378_DE_Video-2.mp4;https://filmster.b-cdn.net/378/Filmster_378_EN_Video-2.mp4;https://filmster.b-cdn.net/378/Filmster_378_DE_Video-3.mp4;https://filmster.b-cdn.net/378/Filmster_378_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_378_QR.png
379;Men in Black 3;Men in Black 3;2012;Barry Sonnenfeld;Josh Brolin, Alice Eve, Tommy Lee Jones, Jason Kennedy;USA;Nein;7,9;Columbia Pictures, Hemisphere Media Capital, Amblin Entertainment, Parkes+MacDonald Image Nation, Image Nation Abu Dhabi;Documentary, News;;https://www.youtube.com/watch?v=IyaFEBI_L24;https://www.youtube.com/watch?v=eoTCrjGk3PQ;filmster://result?id=379;https://filmster.b-cdn.net/379/Filmster_379_DE_Video-1.mp4;https://filmster.b-cdn.net/379/Filmster_379_EN_Video-1.mp4;https://filmster.b-cdn.net/379/Filmster_379_DE_Video-2.mp4;https://filmster.b-cdn.net/379/Filmster_379_EN_Video-2.mp4;https://filmster.b-cdn.net/379/Filmster_379_DE_Video-3.mp4;https://filmster.b-cdn.net/379/Filmster_379_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_379_QR.png
380;Men in Black: International;Men in Black - International;2019;F. Gary Gray;Chris Hemsworth, Tessa Thompson, Kumail Nanjiani;USA, China, UK;Nein;5,6;Amblin Entertainment, Parkes+MacDonald Image Nation, Columbia Pictures, Tencent Pictures;Action, Adventure, Comedy;$80,001,807;https://www.youtube.com/watch?v=BV-WEb2oxLk;https://www.youtube.com/watch?v=NF7KGTAtqiw;filmster://result?id=380;https://filmster.b-cdn.net/380/Filmster_380_DE_Video-1.mp4;https://filmster.b-cdn.net/380/Filmster_380_EN_Video-1.mp4;https://filmster.b-cdn.net/380/Filmster_380_DE_Video-2.mp4;https://filmster.b-cdn.net/380/Filmster_380_EN_Video-2.mp4;https://filmster.b-cdn.net/380/Filmster_380_DE_Video-3.mp4;https://filmster.b-cdn.net/380/Filmster_380_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_380_QR.png
381;The Thursday Murder Club;The Thursday Murder Club;2025;Chris Columbus;Helen Mirren, Pierce Brosnan, Ben Kingsley;USA;Nein;6,9;Amblin Entertainment, Maiden Voyage Pictures, Jennifer Todd Pictures;Comedy, Crime, Mystery;;https://www.youtube.com/watch?v=50DYgzRBhFA;https://www.youtube.com/watch?v=cvMLy_-kAj0;filmster://result?id=381;https://filmster.b-cdn.net/381/Filmster_381_DE_Video-1.mp4;https://filmster.b-cdn.net/381/Filmster_381_EN_Video-1.mp4;https://filmster.b-cdn.net/381/Filmster_381_DE_Video-2.mp4;https://filmster.b-cdn.net/381/Filmster_381_EN_Video-2.mp4;https://filmster.b-cdn.net/381/Filmster_381_DE_Video-3.mp4;https://filmster.b-cdn.net/381/Filmster_381_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_381_QR.png
382;Weapons;Weapons - Die Stunde des Verschwindens;2025;Zach Cregger;Julia Garner, Josh Brolin, Alden Ehrenreich;USA;Nein;7,8;New Line Cinema, Subconscious, Vertigo Entertainment, BoulderLight Pictures, Domain Entertainment;Horror, Mystery;$119,404,498;https://www.youtube.com/watch?v=OpThntO9ixc;https://www.youtube.com/watch?v=VpZmiB4eUIk;filmster://result?id=382;https://filmster.b-cdn.net/382/Filmster_382_DE_Video-1.mp4;https://filmster.b-cdn.net/382/Filmster_382_EN_Video-1.mp4;https://filmster.b-cdn.net/382/Filmster_382_DE_Video-2.mp4;https://filmster.b-cdn.net/382/Filmster_382_EN_Video-2.mp4;https://filmster.b-cdn.net/382/Filmster_382_DE_Video-3.mp4;https://filmster.b-cdn.net/382/Filmster_382_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_382_QR.png
383;Thunderbolts*;Thunderbolts*;2025;Jake Schreier;Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus;USA, Australia, Canada;Nein;7,2;Marvel Studios, Kevin Feige Productions;Action, Adventure, Crime;$190,274,328;https://www.youtube.com/watch?v=hUUszE29jS0;https://www.youtube.com/watch?v=LYh-NaddJ54;filmster://result?id=383;https://filmster.b-cdn.net/383/Filmster_383_DE_Video-1.mp4;https://filmster.b-cdn.net/383/Filmster_383_EN_Video-1.mp4;https://filmster.b-cdn.net/383/Filmster_383_DE_Video-2.mp4;https://filmster.b-cdn.net/383/Filmster_383_EN_Video-2.mp4;https://filmster.b-cdn.net/383/Filmster_383_DE_Video-3.mp4;https://filmster.b-cdn.net/383/Filmster_383_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_383_QR.png
384;Caught Stealing;Caught Stealing;2025;David Yarovesky;Austin Butler, Regina King, Zoë Kravitz;USA;Nein;7,3;Protozoa Pictures, Columbia Pictures, TSG Entertainment;Comedy, Crime, Thriller;;https://www.youtube.com/watch?v=6mIvD-GN-p4;https://www.youtube.com/watch?v=r2bwnkOg8VI;filmster://result?id=384;https://filmster.b-cdn.net/384/Filmster_384_DE_Video-1.mp4;https://filmster.b-cdn.net/384/Filmster_384_EN_Video-1.mp4;https://filmster.b-cdn.net/384/Filmster_384_DE_Video-2.mp4;https://filmster.b-cdn.net/384/Filmster_384_EN_Video-2.mp4;https://filmster.b-cdn.net/384/Filmster_384_DE_Video-3.mp4;https://filmster.b-cdn.net/384/Filmster_384_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_384_QR.png
385;Bugonia;Bugonia;2025;Václav Marhoul;Jesse Plemons, Emma Stone, Alicia Silverstone;USA, South Korea, Ireland;Nein;N/A;Element Pictures, Square Peg, Fremantle, Pith Quest Films, Fruit Tree, CJ ENM;Comedy, Sci-Fi;;https://www.youtube.com/watch?v=bd_5HcTujfc;https://www.youtube.com/watch?v=ync_Yp4clGs;filmster://result?id=385;https://filmster.b-cdn.net/385/Filmster_385_DE_Video-1.mp4;https://filmster.b-cdn.net/385/Filmster_385_EN_Video-1.mp4;https://filmster.b-cdn.net/385/Filmster_385_DE_Video-2.mp4;https://filmster.b-cdn.net/385/Filmster_385_EN_Video-2.mp4;https://filmster.b-cdn.net/385/Filmster_385_DE_Video-3.mp4;https://filmster.b-cdn.net/385/Filmster_385_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_385_QR.png
386;Superman;Superman;2025;James Gunn;David Corenswet, Rachel Brosnahan, Nicholas Hoult;USA, Canada, Australia, New Zealand;Nein;7,6;DC Studios, Troll Court Entertainment, The Safran Company, Domain Entertainment;Action, Adventure, Sci-Fi;$340,890,135;https://www.youtube.com/watch?v=Ox8ZLF6cGM0;https://www.youtube.com/watch?v=7jWhn-uIor0;filmster://result?id=386;https://filmster.b-cdn.net/386/Filmster_386_DE_Video-1.mp4;https://filmster.b-cdn.net/386/Filmster_386_EN_Video-1.mp4;https://filmster.b-cdn.net/386/Filmster_386_DE_Video-2.mp4;https://filmster.b-cdn.net/386/Filmster_386_EN_Video-2.mp4;https://filmster.b-cdn.net/386/Filmster_386_DE_Video-3.mp4;https://filmster.b-cdn.net/386/Filmster_386_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_386_QR.png
387;The Roses;Die Rosenschlacht;2025;Jay Roach;;;Nein;;;Comedy, Romance;;https://www.youtube.com/watch?v=WvNrzbuSQqc;https://www.youtube.com/watch?v=P96Gb9eaTRc;filmster://result?id=387;https://filmster.b-cdn.net/387/Filmster_387_DE_Video-1.mp4;https://filmster.b-cdn.net/387/Filmster_387_EN_Video-1.mp4;https://filmster.b-cdn.net/387/Filmster_387_DE_Video-2.mp4;;https://filmster.b-cdn.net/387/Filmster_387_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_387_QR.png
388;K-Pop: Demon Hunters;KPop Demon Hunters;2025;Chris Applehans;;USA ;Nein;;Sony Pictures Animation;Animation, Action, Adventure, Comedy, Family, Fantasy, Music;;https://www.youtube.com/watch?v=AzCAwdp1uIQ;https://www.youtube.com/watch?v=QTpInTkxv5w;filmster://result?id=388;https://filmster.b-cdn.net/388/Filmster_388_DE_Video-1.mp4;https://filmster.b-cdn.net/388/Filmster_388_EN_Video-1.mp4;https://filmster.b-cdn.net/388/Filmster_388_DE_Video-2.mp4;https://filmster.b-cdn.net/388/Filmster_388_EN_Video-2.mp4;https://filmster.b-cdn.net/388/Filmster_388_DE_Video-3.mp4;https://filmster.b-cdn.net/388/Filmster_388_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_388_QR.png
389;Together;Together - Unzertrennlich;2025;Michael Showalter;Dave Franco, Alison Brie, Damon Herriman;Australia, USA;Nein;6,2;Picturestart, Tango Entertainment, 30WEST, Princess Pictures, 1.21 Entertainment, Project Foxtrot;Horror, Romance;$20,715,561;https://www.youtube.com/watch?v=aSR8mOPBa0I;https://www.youtube.com/watch?v=BY8Pq0v9oQ0;filmster://result?id=389;https://filmster.b-cdn.net/389/Filmster_389_DE_Video-1.mp4;https://filmster.b-cdn.net/389/Filmster_389_EN_Video-1.mp4;https://filmster.b-cdn.net/389/Filmster_389_DE_Video-2.mp4;https://filmster.b-cdn.net/389/Filmster_389_EN_Video-2.mp4;https://filmster.b-cdn.net/389/Filmster_389_DE_Video-3.mp4;https://filmster.b-cdn.net/389/Filmster_389_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_389_QR.png
390;I Know What You Did Last Summer;Ich weiß, was du letzten Sommer getan hast;2025;Jennifer Kaytin Robinson;Madelyn Cline, Chase Sui Wonders, Jonah Hauer-King;USA, Australia, Canada;Nein;5,5;Columbia Pictures, Mandalay Pictures, Original Film, Screen Gems, TSG Entertainment;Horror;$31,405,000;https://www.youtube.com/watch?v=IceTkSOSNJI;https://www.youtube.com/watch?v=yZcB1Ozs_HI;filmster://result?id=390;https://filmster.b-cdn.net/390/Filmster_390_DE_Video-1.mp4;https://filmster.b-cdn.net/390/Filmster_390_EN_Video-1.mp4;https://filmster.b-cdn.net/390/Filmster_390_DE_Video-2.mp4;https://filmster.b-cdn.net/390/Filmster_390_EN_Video-2.mp4;https://filmster.b-cdn.net/390/Filmster_390_DE_Video-3.mp4;https://filmster.b-cdn.net/390/Filmster_390_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_390_QR.png
391;Param Sundari;Param Sundari;2025;Tushar Jalota;Janhvi Kapoor, Sidharth Malhotra;India;Nein;N/A;Maddock Films;Romance, Drama, Comedy;;https://www.youtube.com/watch?v=fdWnfzsx-ks;https://www.youtube.com/watch?v=4OhUMDUyRmw;filmster://result?id=391;https://filmster.b-cdn.net/391/Filmster_391_DE_Video-1.mp4;https://filmster.b-cdn.net/391/Filmster_391_EN_Video-1.mp4;https://filmster.b-cdn.net/391/Filmster_391_DE_Video-2.mp4;https://filmster.b-cdn.net/391/Filmster_391_EN_Video-2.mp4;https://filmster.b-cdn.net/391/Filmster_391_DE_Video-3.mp4;https://filmster.b-cdn.net/391/Filmster_391_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_391_QR.png
392;Eenie Meanie;Eenie Meanie;2025;Shawn Simmons;Samara Weaving, Karl Glusman, Andy Garcia;USA;Nein;6;20th Century Studios, Reese Wernick Productions;Action, Comedy, Drama;;https://www.youtube.com/watch?v=tcRN0IbYQck;https://www.youtube.com/watch?v=z5bgBWe4zHw;filmster://result?id=392;https://filmster.b-cdn.net/392/Filmster_392_DE_Video-1.mp4;https://filmster.b-cdn.net/392/Filmster_392_EN_Video-1.mp4;https://filmster.b-cdn.net/392/Filmster_392_DE_Video-2.mp4;https://filmster.b-cdn.net/392/Filmster_392_EN_Video-2.mp4;https://filmster.b-cdn.net/392/Filmster_392_DE_Video-3.mp4;https://filmster.b-cdn.net/392/Filmster_392_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_392_QR.png
393;The Fantastic Four;Marvel Studios' The Fantastic Four: First Steps - World Premiere;2025;Matt Shakman;Pedro Pascal, Vanessa Kirby, Ebon Moss-Bachrach;UK, USA, Canada, New Zealand;Nein;7,3;;Action, Adventure, Sci-Fi;$236,748,181;https://www.youtube.com/watch?v=18QQWa5MEcs;https://www.youtube.com/watch?v=MNuidOujFqQ;filmster://result?id=393;https://filmster.b-cdn.net/393/Filmster_393_DE_Video-1.mp4;https://filmster.b-cdn.net/393/Filmster_393_EN_Video-1.mp4;https://filmster.b-cdn.net/393/Filmster_393_DE_Video-2.mp4;https://filmster.b-cdn.net/393/Filmster_393_EN_Video-2.mp4;https://filmster.b-cdn.net/393/Filmster_393_DE_Video-3.mp4;https://filmster.b-cdn.net/393/Filmster_393_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_393_QR.png
394;Sinners;Blood & Sinners;2025;Ryan Coogler;;USA , Australia, Canada;Nein;;Warner Bros. Pictures, Proximity Media, Domain Entertainment;Horror, Action, Thriller;;https://www.youtube.com/watch?v=bKGxHflevuk;https://www.youtube.com/watch?v=KX2k8lMj47s;filmster://result?id=394;https://filmster.b-cdn.net/394/Filmster_394_DE_Video-1.mp4;https://filmster.b-cdn.net/394/Filmster_394_EN_Video-1.mp4;https://filmster.b-cdn.net/394/Filmster_394_DE_Video-2.mp4;https://filmster.b-cdn.net/394/Filmster_394_EN_Video-2.mp4;https://filmster.b-cdn.net/394/Filmster_394_DE_Video-3.mp4;https://filmster.b-cdn.net/394/Filmster_394_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_394_QR.png
395;Unknown Number: The Highschool Catfish;Unbekannte Nummer: Der Highschool-Catfish;2025;Skye Borgman;Lauryn Licari, Sophie Weber, Macy Johnston, Owen McKenny, Shawn Licari;USA ;Nein;;Campfire Studios, Terminal B TV;Documentary;;https://www.youtube.com/watch?v=m9gNXyfTK80;https://www.youtube.com/watch?v=m9gNXyfTK80;filmster://result?id=395;https://filmster.b-cdn.net/395/Filmster_395_DE_Video-1.mp4;https://filmster.b-cdn.net/395/Filmster_395_EN_Video-1.mp4;https://filmster.b-cdn.net/395/Filmster_395_DE_Video-2.mp4;https://filmster.b-cdn.net/395/Filmster_395_EN_Video-2.mp4;https://filmster.b-cdn.net/395/Filmster_395_DE_Video-3.mp4;https://filmster.b-cdn.net/395/Filmster_395_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_395_QR.png
396;The Naked Gun;Die nackte Kanone;2025;Akiva Schaffer;Liam Neeson, Pamela Anderson, Paul Walter Hauser;USA, Canada;Nein;7;Fuzzy Door Productions, Paramount Pictures, Domain Entertainment;Action, Comedy, Crime;$48,738,452;https://www.youtube.com/watch?v=uLguU7WLreA;https://www.youtube.com/watch?v=EZO4DTXrmYo;filmster://result?id=396;https://filmster.b-cdn.net/396/Filmster_396_DE_Video-1.mp4;https://filmster.b-cdn.net/396/Filmster_396_EN_Video-1.mp4;https://filmster.b-cdn.net/396/Filmster_396_DE_Video-2.mp4;https://filmster.b-cdn.net/396/Filmster_396_EN_Video-2.mp4;https://filmster.b-cdn.net/396/Filmster_396_DE_Video-3.mp4;https://filmster.b-cdn.net/396/Filmster_396_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_396_QR.png
397;The Naked Gun: From the Files of Police Squad!;Die nackte Kanone;1988;David Zucker;Leslie Nielsen, Priscilla Presley, O.J. Simpson;USA;Nein;7,6;Paramount Pictures;Comedy, Crime;$78,756,177;https://www.youtube.com/watch?v=du4zCR3xNxQ;https://www.youtube.com/watch?v=cdiu5x75POU;filmster://result?id=397;https://filmster.b-cdn.net/397/Filmster_397_DE_Video-1.mp4;https://filmster.b-cdn.net/397/Filmster_397_EN_Video-1.mp4;https://filmster.b-cdn.net/397/Filmster_397_DE_Video-2.mp4;https://filmster.b-cdn.net/397/Filmster_397_EN_Video-2.mp4;https://filmster.b-cdn.net/397/Filmster_397_DE_Video-3.mp4;https://filmster.b-cdn.net/397/Filmster_397_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_397_QR.png
398;The Naked Gun 2½: The Smell of Fear;Die nackte Kanone 2½;1991;David Zucker;Leslie Nielsen, Priscilla Presley, George Kennedy;USA;Nein;6,9;Paramount Pictures;Comedy, Crime;$86,930,411;https://www.youtube.com/watch?v=b_lSI-AU3eE;https://www.youtube.com/watch?v=u93xfioI_D4;filmster://result?id=398;https://filmster.b-cdn.net/398/Filmster_398_DE_Video-1.mp4;https://filmster.b-cdn.net/398/Filmster_398_EN_Video-1.mp4;https://filmster.b-cdn.net/398/Filmster_398_DE_Video-2.mp4;https://filmster.b-cdn.net/398/Filmster_398_EN_Video-2.mp4;https://filmster.b-cdn.net/398/Filmster_398_DE_Video-3.mp4;https://filmster.b-cdn.net/398/Filmster_398_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_398_QR.png
399;The Naked Gun 33⅓: The Final Insult;Die nackte Kanone 33⅓;1994;Peter Segal;;USA ;Nein;;Paramount Pictures;Comedy, Crime;;https://www.youtube.com/watch?v=3Q2GtjZ0RIY;https://www.youtube.com/watch?v=bHUv8MvvxFk;filmster://result?id=399;https://filmster.b-cdn.net/399/Filmster_399_DE_Video-1.mp4;https://filmster.b-cdn.net/399/Filmster_399_EN_Video-1.mp4;https://filmster.b-cdn.net/399/Filmster_399_DE_Video-2.mp4;https://filmster.b-cdn.net/399/Filmster_399_EN_Video-2.mp4;https://filmster.b-cdn.net/399/Filmster_399_DE_Video-3.mp4;https://filmster.b-cdn.net/399/Filmster_399_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_399_QR.png
400;Bring Her Back;Bring Her Back;2025;Danny Philippou, Michael Philippou;Billy Barratt, Sally Hawkins, Mischa Heywood;Australia;Nein;7,2;Causeway Films, Blue Bear, Salmira Productions, A24, South Australian Film Corporation;Horror, Mystery;$19,323,752;https://www.youtube.com/watch?v=kBskrYZfhw8;https://www.youtube.com/watch?v=gqLsW5S9LSE;filmster://result?id=400;https://filmster.b-cdn.net/400/Filmster_400_DE_Video-1.mp4;https://filmster.b-cdn.net/400/Filmster_400_EN_Video-1.mp4;https://filmster.b-cdn.net/400/Filmster_400_DE_Video-2.mp4;https://filmster.b-cdn.net/400/Filmster_400_EN_Video-2.mp4;https://filmster.b-cdn.net/400/Filmster_400_DE_Video-3.mp4;https://filmster.b-cdn.net/400/Filmster_400_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_400_QR.png
401;Red Sonja;Red Sonja;2025;M.J. Bassett;Matilda Lutz, Robert Sheehan, Wallis Day;USA;Nein;4,9;Millennium Media, Mark Canton Productions, Courtney Solomon Productions, Campbell Grobman Films;Action, Adventure, Drama;;https://www.youtube.com/watch?v=G0AQ3bVkDF0;https://www.youtube.com/watch?v=vW3Qnhy9Nk8;filmster://result?id=401;https://filmster.b-cdn.net/401/Filmster_401_DE_Video-1.mp4;https://filmster.b-cdn.net/401/Filmster_401_EN_Video-1.mp4;https://filmster.b-cdn.net/401/Filmster_401_DE_Video-2.mp4;https://filmster.b-cdn.net/401/Filmster_401_EN_Video-2.mp4;https://filmster.b-cdn.net/401/Filmster_401_DE_Video-3.mp4;https://filmster.b-cdn.net/401/Filmster_401_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_401_QR.png
402;The Toxic Avenger;The Toxic Avenger;2023;Macon Blair;Peter Dinklage, Jacob Tremblay, Taylour Paige;USA;Nein;6;Legendary Pictures, Troma Entertainment, Bloody Disgusting;Action, Comedy, Horror;;https://www.youtube.com/watch?v=Wki1V-Gxz6M;https://www.youtube.com/watch?v=Y3A31CnAkM8;filmster://result?id=402;https://filmster.b-cdn.net/402/Filmster_402_DE_Video-1.mp4;https://filmster.b-cdn.net/402/Filmster_402_EN_Video-1.mp4;https://filmster.b-cdn.net/402/Filmster_402_DE_Video-2.mp4;https://filmster.b-cdn.net/402/Filmster_402_EN_Video-2.mp4;https://filmster.b-cdn.net/402/Filmster_402_DE_Video-3.mp4;https://filmster.b-cdn.net/402/Filmster_402_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_402_QR.png
403;Fall for Me;Fall for Me;2025;Sherry Hormann;Svenja Jung, Theo Trebs, Antje Traue;Germany;Nein;N/A;Wiedemann & Berg Television;Thriller;;https://www.youtube.com/watch?v=pgu-BsBV-2I;https://www.youtube.com/watch?v=rPAwhEXIFbM;filmster://result?id=403;https://filmster.b-cdn.net/403/Filmster_403_DE_Video-1.mp4;https://filmster.b-cdn.net/403/Filmster_403_EN_Video-1.mp4;https://filmster.b-cdn.net/403/Filmster_403_DE_Video-2.mp4;https://filmster.b-cdn.net/403/Filmster_403_EN_Video-2.mp4;https://filmster.b-cdn.net/403/Filmster_403_DE_Video-3.mp4;https://filmster.b-cdn.net/403/Filmster_403_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_403_QR.png
404;Happy Gilmore 2;Happy Gilmore 2;2025;Kyle Newacheck;Adam Sandler, Julie Bowen, Christopher McDonald;USA;Nein;6,1;Happy Madison Productions;Comedy, Sport;;https://www.youtube.com/watch?v=YKzRPFvky9Y;https://www.youtube.com/watch?v=mTiTAmlE1zk;filmster://result?id=404;https://filmster.b-cdn.net/404/Filmster_404_DE_Video-1.mp4;https://filmster.b-cdn.net/404/Filmster_404_EN_Video-1.mp4;https://filmster.b-cdn.net/404/Filmster_404_DE_Video-2.mp4;https://filmster.b-cdn.net/404/Filmster_404_EN_Video-2.mp4;https://filmster.b-cdn.net/404/Filmster_404_DE_Video-3.mp4;https://filmster.b-cdn.net/404/Filmster_404_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_404_QR.png
405;Happy Gilmore;Happy Gilmore - Ein Champ zum Verlieben;1996;Dennis Dugan;Adam Sandler, Christopher McDonald, Julie Bowen;USA;Nein;7;Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions;Comedy, Sport;$39,041,354;https://www.youtube.com/watch?v=y1emDAYCfVQ;https://www.youtube.com/watch?v=xxDvTjjT5Ww;filmster://result?id=405;https://filmster.b-cdn.net/405/Filmster_405_DE_Video-1.mp4;https://filmster.b-cdn.net/405/Filmster_405_EN_Video-1.mp4;https://filmster.b-cdn.net/405/Filmster_405_DE_Video-2.mp4;https://filmster.b-cdn.net/405/Filmster_405_EN_Video-2.mp4;https://filmster.b-cdn.net/405/Filmster_405_DE_Video-3.mp4;https://filmster.b-cdn.net/405/Filmster_405_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_405_QR.png
406;The Conjuring: Last Chapter;Conjuring 4: Das letzte Kapitel;2025;Michael Chaves;;;Nein;;;Horror, Mystery, Thriller;;https://www.youtube.com/watch?v=bMgfsdYoEEo;https://www.youtube.com/watch?v=1pNP8rwvwY8;filmster://result?id=406;https://filmster.b-cdn.net/406/Filmster_406_DE_Video-1.mp4;https://filmster.b-cdn.net/406/Filmster_406_EN_Video-1.mp4;https://filmster.b-cdn.net/406/Filmster_406_DE_Video-2.mp4;https://filmster.b-cdn.net/406/Filmster_406_EN_Video-2.mp4;https://filmster.b-cdn.net/406/Filmster_406_DE_Video-3.mp4;https://filmster.b-cdn.net/406/Filmster_406_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_406_QR.png
407;The Conjuring;Conjuring - Die Heimsuchung;2013;James Wan;Patrick Wilson, Vera Farmiga, Ron Livingston;USA;Nein;7,5;Evergreen Media Group, New Line Cinema, The Safran Company;Horror, Mystery, Thriller;$137,446,368;https://www.youtube.com/watch?v=ejMMn0t58Lc;https://www.youtube.com/watch?v=0Zwf3lL-Mgw;filmster://result?id=407;https://filmster.b-cdn.net/407/Filmster_407_DE_Video-1.mp4;https://filmster.b-cdn.net/407/Filmster_407_EN_Video-1.mp4;https://filmster.b-cdn.net/407/Filmster_407_DE_Video-2.mp4;https://filmster.b-cdn.net/407/Filmster_407_EN_Video-2.mp4;https://filmster.b-cdn.net/407/Filmster_407_DE_Video-3.mp4;https://filmster.b-cdn.net/407/Filmster_407_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_407_QR.png
408;The Conjuring 2;Conjuring 2;2016;James Wan;Vera Farmiga, Patrick Wilson, Madison Wolfe;Canada, USA, UK;Nein;7,3;New Line Cinema, The Safran Company, Atomic Monster, RatPac Entertainment;Horror, Mystery, Thriller;$102,516,140;https://www.youtube.com/watch?v=VFsmuRPClr4;https://www.youtube.com/watch?v=bboXt5dJSnQ;filmster://result?id=408;https://filmster.b-cdn.net/408/Filmster_408_DE_Video-1.mp4;https://filmster.b-cdn.net/408/Filmster_408_EN_Video-1.mp4;https://filmster.b-cdn.net/408/Filmster_408_DE_Video-2.mp4;https://filmster.b-cdn.net/408/Filmster_408_EN_Video-2.mp4;https://filmster.b-cdn.net/408/Filmster_408_DE_Video-3.mp4;https://filmster.b-cdn.net/408/Filmster_408_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_408_QR.png
